artist,album,price,format,qty,orderdate,store.id
AC/DC,Back in Black,8.98,cass,7,2019-06-09,X027
Led Zeppelin,IV (untitled),7.98,cass,2,2019-06-09,X027
The Rolling Stones,Sticky Fingers,7.98,cass,2,2019-06-09,X027
Journey,Escape,8.98,cass,5,2019-02-07,X027
AC/DC,Back in Black,8.98,cass,7,2019-02-07,X027
Lynyrd Skynyrd,Second Helping,7.98,cass,3,2019-05-22,X035
Aerosmith,Toys in the Attic,7.98,lp,6,2019-05-22,X035
Journey,Escape,8.98,cass,5,2019-05-22,X035
Bad Company,Bad Company,7.98,cass,3,2019-05-22,X035
Tom Petty & The Heartbreakers,Hard Promises,8.98,cass,3,2019-05-22,X035
The Doors,The Doors,7.98,cass,5,2019-09-04,X005
AC/DC,Back in Black,8.98,cass,7,2019-09-04,X005
Lynyrd Skynyrd,Second Helping,7.98,cass,2,2019-09-04,X005
The Rolling Stones,Sticky Fingers,7.98,cass,4,2019-09-04,X005
ZZ Top,Eliminator,9.98,lp,6,2019-06-01,X021
Foreigner,4,8.98,cass,2,2019-06-01,X021
Led Zeppelin,IV (untitled),7.98,cass,5,2019-06-01,X021
Tom Petty & The Heartbreakers,Hard Promises,8.98,lp,3,2019-10-19,X041
Foreigner,4,8.98,cass,4,2019-10-19,X041
Led Zeppelin,IV (untitled),7.98,cass,4,2019-10-19,X041
AC/DC,Back in Black,8.98,cass,7,2019-10-19,X041
The Doors,The Doors,7.98,cass,1,2019-10-19,X041
The Beatles,Abbey Road,7.98,lp,2,2019-10-19,X041
Pink Floyd,The Wall,14.98,cass,3,2019-10-19,X041
Rush,Moving Pictures,8.98,cass,6,2019-09-24,X017
U2,War,9.98,cass,5,2019-09-24,X017
Van Halen,1984,9.98,cass,4,2019-09-24,X017
Foreigner,4,8.98,lp,3,2019-09-24,X017
The Cars,The Cars,8.98,lp,6,2019-09-24,X017
AC/DC,Back in Black,8.98,cass,5,2019-09-24,X017
The Rolling Stones,Sticky Fingers,7.98,lp,3,2019-01-10,X001
The Who,Who's Next,7.98,lp,3,2019-01-10,X001
Pink Floyd,The Wall,14.98,cass,4,2019-01-10,X001
Bad Company,Bad Company,7.98,cass,1,2019-01-10,X001
Aerosmith,Toys in the Attic,7.98,lp,0,2019-01-10,X001
Rush,Moving Pictures,8.98,cass,8,2019-09-13,X014
Rush,Moving Pictures,8.98,lp,4,2019-09-13,X014
Boston,Boston,8.98,lp,3,2019-09-13,X014
Heart,Dreamboat Annie,7.98,cass,0,2019-09-13,X014
Led Zeppelin,IV (untitled),7.98,cass,3,2019-09-13,X014
Van Halen,1984,9.98,cass,1,2019-03-13,X013
Bad Company,Bad Company,7.98,cass,3,2019-03-13,X013
Led Zeppelin,IV (untitled),7.98,cass,4,2019-03-13,X013
The Doors,The Doors,7.98,cass,7,2019-06-08,X021
The Rolling Stones,Sticky Fingers,7.98,lp,3,2019-06-08,X021
Led Zeppelin,IV (untitled),7.98,lp,3,2019-06-08,X021
Queen,Night at the Opera,7.98,cass,5,2019-07-11,X017
Foreigner,4,8.98,lp,2,2019-07-11,X017
U2,War,9.98,cass,3,2019-07-11,X017
The Rolling Stones,Sticky Fingers,7.98,cass,3,2019-07-11,X017
Pink Floyd,The Wall,14.98,cass,4,2019-07-11,X017
