Series ID,Annual 2010,Annual 2011,Annual 2012,Annual 2013,Annual 2014,Annual 2015,Annual 2016,Annual 2017,Annual 2018,Annual 2019,Annual 2020
CEU0000000001,130345,131914,134157,136363,138939,141824,144335,146607,148908,150904,142186
CEU0500000001,107854,109828,112237,114511,117058,119795,122111,124257,126454,128291,120200
CEU0600000001,17751,18048,18420,18738,19226,19610,19749,20084,20704,21037,20023
CEU1000000001,705,788,848,863,891,813,668,676,727,727,600
CEU1011330001,49.7,48.7,50.8,51.8,52.0,52.4,51.0,49.6,49.5,49.0,46.4
CEU1021000001,654.7,739.3,797.2,811.0,838.5,760.3,616.8,626.1,677.8,678.1,553.0
CEU1021100001,158.7,172.0,187.4,193.5,197.7,193.4,169.8,143.9,142.3,143.6,129.8
CEU1021200001,204.4,218.4,218.6,209.5,207.2,197.7,180.8,185.8,191.3,190.4,176.3
CEU1021210001,80.7,87.3,84.6,78.1,73.2,64.1,50.7,51.5,51.6,50.5,39.8
CEU1021220001,36.7,42.0,44.7,44.4,44.0,41.8,39.0,39.5,41.7,42.2,41.4
CEU1021230001,87.0,89.1,89.4,87.1,89.9,91.8,91.1,94.8,98.0,97.8,95.1
CEU1021300001,291.6,348.8,391.1,407.9,433.6,369.2,266.2,296.4,344.2,344.0,246.8
CEU2000000001,5518,5533,5646,5856,6151,6461,6728,6969,7288,7493,7257
CEU2023600001,1229.7,1222.1,1240.2,1285.9,1358.0,1423.7,1493.2,1545.2,1625.3,1661.0,1606.2
CEU2023610001,571.8,565.6,580.8,611.6,659.5,693.5,730.9,752.8,798.2,820.2,808.5
CEU2023620001,657.9,656.5,659.4,674.4,698.4,730.3,762.3,792.5,827.1,840.9,797.7
CEU2023700001,825.1,836.8,868.3,885.0,912.3,937.6,951.6,996.4,1050.7,1082.2,1045.7
CEU2023800001,3463.4,3474.4,3537.1,3684.4,3880.6,4099.7,4283.0,4427.2,4612.5,4750.0,4604.9
CEU2023800101,1462.7,1450.0,1475.2,1565.0,1669.9,1771.5,1865.2,1944.9,2030.7,2088.0,2071.3
CEU2023800201,2000.7,2024.4,2061.8,2119.5,2210.7,2328.2,2417.8,2482.2,2581.8,2662.0,2533.6
CEU3000000001,11528,11726,11927,12020,12185,12336,12354,12439,12688,12817,12167
CEU3100000001,7064,7273,7470,7548,7674,7765,7714,7741,7946,8039,7573
CEU3132100001,342.1,337.1,339.1,353.2,371.6,382.5,392.7,397.0,406.0,408.7,396.0
CEU3132700001,370.9,366.6,365.3,373.4,384.1,398.0,406.1,409.8,416.5,419.0,399.3
CEU3133100001,362.3,388.3,402.0,395.3,398.7,394.0,374.5,371.3,380.2,387.3,353.5
CEU3133200001,1281.7,1347.3,1409.8,1432.3,1454.2,1457.8,1421.5,1425.2,1469.6,1485.6,1386.0
CEU3133300001,996.1,1055.8,1098.5,1104.5,1127.3,1120.8,1076.5,1079.1,1116.9,1126.6,1055.0
CEU3133400001,1094.6,1103.5,1089.0,1065.6,1048.7,1052.8,1048.4,1039.2,1054.1,1075.1,1063.1
CEU3133410001,157.6,157.4,157.4,157.5,159.8,160.3,162.7,155.6,156.6,160.7,159.7
CEU3133420001,117.4,115.3,108.2,101.1,93.2,88.4,86.2,86.7,84.9,84.3,85.6
CEU3133440001,369.4,383.4,383.1,374.9,367.4,369.5,367.3,362.1,368.9,375.7,368.7
CEU3133450001,406.4,404.2,399.7,393.7,390.8,398.9,396.8,400.5,410.1,422.0,417.7
CEU3133460001,43.9,43.3,40.6,38.3,37.5,35.8,35.4,34.3,33.6,32.4,31.5
CEU3133500001,359.5,366.1,373.2,374.1,377.8,383.7,382.8,386.3,399.6,402.8,384.4
CEU3133600001,1333.1,1381.5,1461.1,1508.8,1559.0,1604.9,1630.3,1643.2,1702.3,1729.3,1590.9
CEU3133600101,678.5,717.7,777.3,824.8,872.1,913.7,944.3,963.4,998.4,993.5,887.5
CEU3133700001,357.2,353.1,351.4,359.9,370.3,381.0,389.8,394.9,392.7,387.5,359.2
CEU3133900001,566.8,573.7,580.1,580.5,581.9,589.9,590.9,594.5,608.2,617.7,585.9
CEU3200000001,4464,4453,4457,4472,4512,4571,4640,4699,4742,4778,4594
CEU3231100001,1450.6,1458.8,1468.8,1473.7,1484.4,1511.8,1556.5,1598.0,1620.8,1645.0,1615.0
CEU3231300001,119.0,120.1,118.7,117.2,117.0,116.6,114.5,112.6,111.8,108.4,95.7
CEU3231400001,119.0,117.6,116.3,114.4,115.0,116.1,116.2,116.2,116.0,113.4,102.5
CEU3231500001,156.6,151.7,148.0,144.7,140.1,136.5,130.9,119.3,113.8,110.1,90.1
CEU3232200001,394.7,387.4,379.8,378.0,373.3,372.7,370.8,366.2,365.5,365.3,354.8
CEU3232300001,487.6,471.8,461.8,452.0,453.7,450.3,447.6,440.2,432.3,425.1,375.3
CEU3232400001,113.9,111.8,112.1,110.4,111.6,112.9,112.5,114.6,115.2,114.3,107.6
CEU3232500001,786.5,783.6,783.3,792.7,803.0,807.3,811.9,823.8,835.3,851.0,845.4
CEU3232600001,624.8,635.2,645.1,659.2,674.3,689.4,702.4,716.9,730.3,731.6,706.9
CEU3232900001,211.1,215.5,223.1,230.2,239.2,257.7,276.5,291.0,300.9,313.4,300.2
CEU0800000001,90104,91780,93817,95773,97831,100185,102362,104173,105750,107254,100177
CEU4000000001,24523,24947,25353,25735,26253,26754,27124,27336,27549,27662,26624
